{'text': 'yo real talk', 'start': 0.0, 'duration': 6.899}
{'text': 'fork for my original code base', 'start': 448.979, 'duration': 5.541}
{'text': 'foreign', 'start': 451.979, 'duration': 2.541}
{'text': "who else vosh's website comes from my", 'start': 454.979, 'duration': 3.181}
{'text': '[\xa0__\xa0]', 'start': 457.319, 'duration': 3.72}
{'text': 'um that sharkzero loser doe the dear', 'start': 458.16, 'duration': 5.34}
{'text': 'person Merrick uses a website based off', 'start': 461.039, 'duration': 4.38}
{'text': 'of my code base', 'start': 463.5, 'duration': 4.28}
{'text': 'um yeah', 'start': 465.419, 'duration': 2.361}
{'text': 'or scroll down to see everyone who has a', 'start': 472.259, 'duration': 2.701}
{'text': 'site', 'start': 474.24, 'duration': 3.66}
{'text': "oh here oh the surf's TV uses a fork for", 'start': 474.96, 'duration': 5.4}
{'text': 'my code base conure was the one who', 'start': 477.9, 'duration': 4.079}
{'text': 'originally spread that clip they got', 'start': 480.36, 'duration': 4.98}
{'text': 'like 500 000 views on Twitter of the BLM', 'start': 481.979, 'duration': 5.101}
{'text': 'stuff about me', 'start': 485.34, 'duration': 3.359}
{'text': 'um xcelia or whatever the [\xa0__\xa0] this', 'start': 487.08, 'duration': 2.76}
{'text': 'person is I fight with them all the time', 'start': 488.699, 'duration': 4.5}
{'text': 'Zander Hall shark zero demon mama', 'start': 489.84, 'duration': 6.78}
{'text': 'um yeah oh Annie the person who is like', 'start': 493.199, 'duration': 5.161}
{'text': 'fighting me at every step of the way on', 'start': 496.62, 'duration': 2.699}
{'text': 'Twitter trying to accuse my people', 'start': 498.36, 'duration': 1.98}
{'text': 'forgetting trying to get me banned from', 'start': 499.319, 'duration': 1.981}
{'text': "everything the same person who's trying", 'start': 500.34, 'duration': 2.82}
{'text': 'to vandalize my Wikipedia article who', 'start': 501.3, 'duration': 3.119}
{'text': 'was fighting in the comment section of', 'start': 503.16, 'duration': 2.879}
{'text': 'that', 'start': 504.419, 'duration': 3.541}
{'text': 'um Queen Marcy I think they hate me but', 'start': 506.039, 'duration': 3.06}
{'text': "I don't remember", 'start': 507.96, 'duration': 3.679}
{'text': 'um but yeah', 'start': 509.099, 'duration': 2.54}
{'text': 'I think vosh actually contracted some', 'start': 519.18, 'duration': 3.299}
{'text': 'Dev work on it to improve it though', 'start': 520.86, 'duration': 3.179}
{'text': 'unlike everyone else', 'start': 522.479, 'duration': 3.841}
{'text': 'um he might have a little bit but', 'start': 524.039, 'duration': 3.841}
{'text': 'sure would have been nice to see any of', 'start': 526.32, 'duration': 3.6}
{'text': 'those uh merges back into our code base', 'start': 527.88, 'duration': 3.84}
{'text': 'I think one of us has suggested one', 'start': 529.92, 'duration': 3.359}
{'text': "shitty merge a long time ago so she's", 'start': 531.72, 'duration': 4.44}
{'text': 'like oh well look I tried to help', 'start': 533.279, 'duration': 4.261}
{'text': 'Destiny does your code base still exist', 'start': 536.16, 'duration': 2.7}
{'text': 'in a way that other people could use it', 'start': 537.54, 'duration': 3.66}
{'text': "that isn't a fork no", 'start': 538.86, 'duration': 4.38}
{'text': 'um no my [\xa0__\xa0] is closed now [\xa0__\xa0] that', 'start': 541.2, 'duration': 4.02}
{'text': '[\xa0__\xa0] and [\xa0__\xa0] the world', 'start': 543.24, 'duration': 3.599}
{'text': "um we're working on a separate site for", 'start': 545.22, 'duration': 3.54}
{'text': "Mr girl right now that's based on my", 'start': 546.839, 'duration': 3.781}
{'text': 'code base and I might start offering', 'start': 548.76, 'duration': 2.94}
{'text': 'that service more to people in the', 'start': 550.62, 'duration': 1.74}
{'text': 'future', 'start': 551.7, 'duration': 1.74}
{'text': "um except I'm not going to pull it away", 'start': 552.36, 'duration': 2.4}
{'text': 'from you if you politically disagree', 'start': 553.44, 'duration': 3.24}
{'text': 'with me like the white nervosa project', 'start': 554.76, 'duration': 5.1}
{'text': 'did with rose wrist but', 'start': 556.68, 'duration': 4.68}
{'text': 'do they credit you anywhere yeah', 'start': 559.86, 'duration': 3.18}
{'text': "somewhere they have to it's there's like", 'start': 561.36, 'duration': 3.24}
{'text': 'a little blip on the site it should say', 'start': 563.04, 'duration': 2.82}
{'text': "it's somewhere I think it's I think the", 'start': 564.6, 'duration': 4.4}
{'text': 'license requires a', 'start': 565.86, 'duration': 3.14}
{'text': "thought I think doesn't it", 'start': 569.88, 'duration': 4.56}
{'text': 'um oh sorry', 'start': 573.42, 'duration': 2.34}
{'text': "I don't even know what I just said um", 'start': 574.44, 'duration': 2.64}
{'text': "it's somewhere in here I know because", 'start': 575.76, 'duration': 2.639}
{'text': "you're supposed to have I'm pretty sure", 'start': 577.08, 'duration': 2.939}
{'text': "it's like a requirement of the licenses", 'start': 578.399, 'duration': 4.761}
{'text': 'you have to give credit to the original', 'start': 580.019, 'duration': 3.141}
{'text': 'is it a GNU license', 'start': 587.64, 'duration': 3.56}
{'text': 'is gnu even a license', 'start': 591.54, 'duration': 5.16}
{'text': 'I thought that was like a [\xa0__\xa0]', 'start': 594.6, 'duration': 5.6}
{'text': 'operating system or some [\xa0__\xa0]', 'start': 596.7, 'duration': 3.5}
{'text': "I think it's a GPL something license but", 'start': 602.279, 'duration': 5.24}
{'text': "I don't remember", 'start': 605.16, 'duration': 2.359}
{'text': 'oh here it is', 'start': 617.04, 'duration': 4.44}
{'text': 'attributions do not necessarily endorse', 'start': 619.32, 'duration': 3.72}
{'text': 'or endorsed by white leaf or white', 'start': 621.48, 'duration': 3.18}
{'text': 'nervosa website framework is a', 'start': 623.04, 'duration': 3.479}
{'text': 'derivative work from Destiny GG website', 'start': 624.66, 'duration': 4.34}
{'text': 'cute', 'start': 626.519, 'duration': 2.481}
{'text': 'chat back and as a derivative work from', 'start': 634.68, 'duration': 5.04}
{'text': 'meme Labs chat is that our chat or is', 'start': 636.48, 'duration': 4.44}
{'text': 'that do they use something different for', 'start': 639.72, 'duration': 3.559}
{'text': 'chat', 'start': 640.92, 'duration': 2.359}
{'text': "don't they have to have that on the", 'start': 652.019, 'duration': 3.301}
{'text': "sites they're making too I'm pretty sure", 'start': 653.88, 'duration': 3.24}
{'text': "they do I'm", 'start': 655.32, 'duration': 3.72}
{'text': 'meme Labs is a dgg derivative as well', 'start': 657.12, 'duration': 4.399}
{'text': 'gotcha', 'start': 659.04, 'duration': 4.56}
{'text': "Polk's website looks like yours doesn't", 'start': 661.519, 'duration': 4.38}
{'text': 'it', 'start': 663.6, 'duration': 2.299}
{'text': '[Music]', 'start': 667.19, 'duration': 2.61}
{'text': 'um', 'start': 667.8, 'duration': 2.0}
{'text': "I don't think this has anything to do", 'start': 669.839, 'duration': 3.361}
{'text': 'with my original code base I could be', 'start': 671.399, 'duration': 4.401}
{'text': 'totally wrong though', 'start': 673.2, 'duration': 2.6}
{'text': 'overpowered is this guy from our', 'start': 678.32, 'duration': 4.5}
{'text': 'community', 'start': 680.579, 'duration': 2.241}
{'text': "wasn't he a good FPS player or am I", 'start': 683.22, 'duration': 4.64}
{'text': 'thinking of a different overpowered', 'start': 684.839, 'duration': 3.021}
{'text': "yes he is okay it's the same overpower", 'start': 691.62, 'duration': 4.64}
{'text': 'that was pretty good at um', 'start': 693.24, 'duration': 3.02}
{'text': 'uh really good at FPS I think right isos', 'start': 698.7, 'duration': 4.02}
{'text': 'requires them to maintain public Forks', 'start': 701.339, 'duration': 2.581}
{'text': "of changes which they don't which is why", 'start': 702.72, 'duration': 2.28}
{'text': 'whenever this comes up I have a [\xa0__\xa0]', 'start': 703.92, 'duration': 2.94}
{'text': 'public meltdown raging at you cucknow oh', 'start': 705.0, 'duration': 2.82}
{'text': "well if you're a lawyer and you want to", 'start': 706.86, 'duration': 1.979}
{'text': 'send letters or whatever and you want me', 'start': 707.82, 'duration': 4.28}
{'text': 'to throw money at you to do it go for it', 'start': 708.839, 'duration': 3.261}
