{'text': 'i know', 'start': 9.519, 'duration': 2.801}
{'text': "it's like so blatant how much it must", 'start': 154.16, 'duration': 3.84}
{'text': 'suck to put so much work to put on a', 'start': 156.64, 'duration': 2.4}
{'text': 'show like this and you get people that', 'start': 158.0, 'duration': 4.08}
{'text': 'like just cheat like so hard', 'start': 159.04, 'duration': 5.04}
{'text': 'she knows this she does her little moon', 'start': 162.08, 'duration': 3.76}
{'text': "whatevers and i'm sure she like has", 'start': 164.08, 'duration': 4.32}
{'text': 'how how can i do this stay stay stay', 'start': 165.84, 'duration': 5.039}
{'text': 'there stay there stay there', 'start': 168.4, 'duration': 6.0}
{'text': 'i feel bad for room skip but jesus', 'start': 170.879, 'duration': 4.561}
{'text': "she doesn't like three different", 'start': 174.4, 'duration': 2.08}
{'text': 'questions why would someone cheat', 'start': 175.44, 'duration': 2.96}
{'text': 'because she probably wanted a big host', 'start': 176.48, 'duration': 3.92}
{'text': 'in the end', 'start': 178.4, 'duration': 3.759}
{'text': "i think it's a big i think it's like 100", 'start': 180.4, 'duration': 3.04}
{'text': 'subs which is whatever but i think you', 'start': 182.159, 'duration': 2.881}
{'text': "get like it's like a 50k beer host in", 'start': 183.44, 'duration': 2.719}
{'text': "the end that's what", 'start': 185.04, 'duration': 3.119}
{'text': "that's when you watch this xqc clip nope", 'start': 186.159, 'duration': 4.481}
{'text': 'is it good', 'start': 188.159, 'duration': 2.481}
{'text': 'from it you know that person', 'start': 191.84, 'duration': 4.0}
{'text': 'specifically and he knows that for', 'start': 193.599, 'duration': 4.56}
{'text': 'whatever reason people will just believe', 'start': 195.84, 'duration': 5.36}
{'text': "what he says but it's like", 'start': 198.159, 'duration': 4.961}
{'text': "like i said that guys i'm gonna keep it", 'start': 201.2, 'duration': 4.24}
{'text': "a stack i think it's a pretty big hit on", 'start': 203.12, 'duration': 5.44}
{'text': 'on integrity when not only you cheat', 'start': 205.44, 'duration': 4.799}
{'text': 'you deny it and but then you throw', 'start': 208.56, 'duration': 4.48}
{'text': 'people under the bus', 'start': 210.239, 'duration': 5.121}
{'text': 'and you attack their person or their', 'start': 213.04, 'duration': 3.36}
{'text': 'character', 'start': 215.36, 'duration': 3.68}
{'text': 'based on how wrong they were yet you', 'start': 216.4, 'duration': 4.16}
{'text': 'were wrong the whole time', 'start': 219.04, 'duration': 3.759}
{'text': "that's like really really bad one", 'start': 220.56, 'duration': 3.679}
{'text': 'question', 'start': 222.799, 'duration': 4.08}
{'text': 'true', 'start': 224.239, 'duration': 2.64}
{'text': 'and of course they have the answer', 'start': 228.959, 'duration': 5.2}
{'text': 'dozens of times', 'start': 231.92, 'duration': 4.959}
{'text': 'they would do this poor miscarriage um', 'start': 234.159, 'duration': 3.921}
{'text': "and i felt it's so", 'start': 236.879, 'duration': 5.041}
{'text': "pathetic how it's you're stealing my", 'start': 238.08, 'duration': 5.92}
{'text': 'money and i get that people are like oh', 'start': 241.92, 'duration': 5.2}
{'text': "okay you know it's uh", 'start': 244.0, 'duration': 4.799}
{'text': "you know oh it's it's miss gives money", 'start': 247.12, 'duration': 3.119}
{'text': "he's a millionaire who cares it's not", 'start': 248.799, 'duration': 2.64}
{'text': 'about the money', 'start': 250.239, 'duration': 3.601}
{'text': "it's you're stealing from me because you", 'start': 251.439, 'duration': 3.121}
{'text': "you're straight up", 'start': 253.84, 'duration': 3.119}
{'text': "are it i say every time it's my money it", 'start': 254.56, 'duration': 3.12}
{'text': 'is', 'start': 256.959, 'duration': 3.28}
{'text': "and you're taking my money because of", 'start': 257.68, 'duration': 3.6}
{'text': 'greed and', 'start': 260.239, 'duration': 3.121}
{'text': 'selfish reasons and a lot of the reasons', 'start': 261.28, 'duration': 3.84}
{'text': "i think aren't because of money", 'start': 263.36, 'duration': 3.2}
{'text': 'i think the reason why people cheat in', 'start': 265.12, 'duration': 3.12}
{'text': 'my show is because', 'start': 266.56, 'duration': 3.919}
{'text': "they have something to prove it's", 'start': 268.24, 'duration': 3.6}
{'text': 'because they want to prove to other', 'start': 270.479, 'duration': 3.121}
{'text': "people that maybe they're not stupid", 'start': 271.84, 'duration': 4.48}
{'text': 'or dumb or they they are you know they', 'start': 273.6, 'duration': 4.24}
{'text': 'actually could be smart', 'start': 276.32, 'duration': 4.879}
{'text': 'but in reality i see it all', 'start': 277.84, 'duration': 6.16}
{'text': 'and it ruins the show we put hundreds of', 'start': 281.199, 'duration': 4.401}
{'text': 'hours into the show', 'start': 284.0, 'duration': 2.96}
{'text': 'and the fact that people have no', 'start': 285.6, 'duration': 3.44}
{'text': "integrity for it it's pink", 'start': 286.96, 'duration': 4.32}
{'text': 'and of course boy miss kim i feel bad', 'start': 289.04, 'duration': 3.36}
{'text': 'for him', 'start': 291.28, 'duration': 2.4}
{'text': 'not gonna lie it feels like people seem', 'start': 292.4, 'duration': 3.2}
{'text': 'to be way more pissed at casey than all', 'start': 293.68, 'duration': 3.28}
{'text': 'the other girls captain puffy just', 'start': 295.6, 'duration': 2.64}
{'text': 'admitted shooting for the first time yet', 'start': 296.96, 'duration': 2.48}
{'text': 'this clip is flying to the top even', 'start': 298.24, 'duration': 2.56}
{'text': "though this one's already been confirmed", 'start': 299.44, 'duration': 3.599}
{'text': 'yeah i think the problem is that um i', 'start': 300.8, 'duration': 3.44}
{'text': 'think some other people', 'start': 303.039, 'duration': 3.121}
{'text': 'admitted it i think the problem is that', 'start': 304.24, 'duration': 3.679}
{'text': 'casey was literally like taunting that', 'start': 306.16, 'duration': 3.599}
{'text': "one guy like calling him stupid [\xa0__\xa0] i'm", 'start': 307.919, 'duration': 3.28}
{'text': "saying like oh you're mad that you lost", 'start': 309.759, 'duration': 3.28}
{'text': 'to like a stoner and a', 'start': 311.199, 'duration': 3.44}
{'text': "hot tub girl like i think that's the", 'start': 313.039, 'duration': 3.041}
{'text': 'problem and then casey like double', 'start': 314.639, 'duration': 2.721}
{'text': 'quadrupled down', 'start': 316.08, 'duration': 2.8}
{'text': "she was talking [\xa0__\xa0] i'm like oh destiny", 'start': 317.36, 'duration': 2.72}
{'text': "has something to gain and that's why he", 'start': 318.88, 'duration': 2.64}
{'text': "accuses me and they're like talking [\xa0__\xa0]", 'start': 320.08, 'duration': 1.92}
{'text': 'and if', 'start': 321.52, 'duration': 1.679}
{'text': 'and casey came out and said that you', 'start': 322.0, 'duration': 2.88}
{'text': "keeps me cheating so you're sexist guys", 'start': 323.199, 'duration': 3.361}
{'text': "they're just mad because a man didn't", 'start': 324.88, 'duration': 3.599}
{'text': "win and you're sexist", 'start': 326.56, 'duration': 3.199}
{'text': "yeah no [\xa0__\xa0] we're gonna come down", 'start': 328.479, 'duration': 4.0}
{'text': "harder on her asthma's take on cheaters", 'start': 329.759, 'duration': 6.321}
{'text': 'how do we stop the cheating simple', 'start': 332.479, 'duration': 5.921}
{'text': 'we never invite people who cheated on', 'start': 336.08, 'duration': 3.2}
{'text': 'the show back', 'start': 338.4, 'duration': 3.2}
{'text': 'ever again true never do content with', 'start': 339.28, 'duration': 3.04}
{'text': 'them again', 'start': 341.6, 'duration': 2.64}
{'text': "but nobody will do that i'm gonna vote", 'start': 342.32, 'duration': 3.439}
{'text': 'well asman might', 'start': 344.24, 'duration': 4.64}
{'text': 'at all period', 'start': 345.759, 'duration': 3.121}
{'text': 'anybody absolutely completely blacklist', 'start': 350.08, 'duration': 3.839}
{'text': 'can i get your thoughts on it', 'start': 352.24, 'duration': 4.48}
{'text': 'how do we stop the video discord as when', 'start': 353.919, 'duration': 5.361}
{'text': 'gold is ranting about casey jones', 'start': 356.72, 'duration': 4.16}
{'text': "like i'll be honest i probably shouldn't", 'start': 359.28, 'duration': 3.44}
{'text': 'really say this', 'start': 360.88, 'duration': 5.68}
{'text': 'i never liked caseytron', 'start': 362.72, 'duration': 7.12}
{'text': "oh no oh [\xa0__\xa0] that's what is going on so", 'start': 366.56, 'duration': 4.24}
{'text': 'hard', 'start': 369.84, 'duration': 3.199}
{'text': "she was really smart it's an ego reason", 'start': 370.8, 'duration': 3.839}
{'text': "and now she's coming out here", 'start': 373.039, 'duration': 3.44}
{'text': 'deflecting it to other people for', 'start': 374.639, 'duration': 6.721}
{'text': "another ego reason i i i'm not gonna get", 'start': 376.479, 'duration': 7.201}
{'text': "i'm not gonna give her that for a second", 'start': 381.36, 'duration': 6.24}
{'text': 'she cheated on the show for an ego', 'start': 383.68, 'duration': 5.92}
{'text': "and now she's coming out saying that she", 'start': 387.6, 'duration': 3.84}
{'text': 'was cheating trying to put herself above', 'start': 389.6, 'duration': 3.439}
{'text': 'the other people that were also clearly', 'start': 391.44, 'duration': 2.319}
{'text': 'cheating', 'start': 393.039, 'duration': 5.041}
{'text': "for ego again that's what it is", 'start': 393.759, 'duration': 6.641}
{'text': "like that's 100 egotistical narcissist", 'start': 398.08, 'duration': 3.679}
{'text': "that's what you're doing", 'start': 400.4, 'duration': 4.0}
{'text': "that's literally what you're doing", 'start': 401.759, 'duration': 4.481}
{'text': 'ruining our show', 'start': 404.4, 'duration': 3.04}
{'text': "just because you don't want to look", 'start': 406.24, 'duration': 3.359}
{'text': 'stupid in front of a bunch of people', 'start': 407.44, 'duration': 5.199}
{'text': "because you can't do third grade math", 'start': 409.599, 'duration': 5.521}
{'text': "it's pathetic i'll be honest i probably", 'start': 412.639, 'duration': 4.481}
{'text': "shouldn't really say this", 'start': 415.12, 'duration': 5.12}
{'text': 'i never liked casey tron like even', 'start': 417.12, 'duration': 5.28}
{'text': 'before this', 'start': 420.24, 'duration': 3.519}
{'text': "but you know we're gonna have our own", 'start': 422.4, 'duration': 4.88}
{'text': 'shows like all right you know whatever', 'start': 423.759, 'duration': 3.521}
{'text': 'yeah i never liked her', 'start': 427.36, 'duration': 3.279}
{'text': '[Music]', 'start': 430.98, 'duration': 3.9}
{'text': "there's like there's so many reasons too", 'start': 432.4, 'duration': 5.919}
{'text': "like it's not just like one thing", 'start': 434.88, 'duration': 3.439}
{'text': 'go on a show um maybe', 'start': 439.84, 'duration': 4.72}
{'text': 'why you get exposed for being a dummy i', 'start': 445.759, 'duration': 5.28}
{'text': "was thinking well it wouldn't be fun", 'start': 449.84, 'duration': 1.759}
{'text': 'because', 'start': 451.039, 'duration': 5.041}
{'text': 'you know i just got a big old brain', 'start': 451.599, 'duration': 6.241}
{'text': 'if i went on a show like that and i', 'start': 456.08, 'duration': 3.679}
{'text': "played for for real like and i didn't", 'start': 457.84, 'duration': 2.56}
{'text': 'cheat', 'start': 459.759, 'duration': 3.761}
{'text': 'and i lost to like caseytron', 'start': 460.4, 'duration': 5.6}
{'text': 'who claims that she remembers what all', 'start': 463.52, 'duration': 3.76}
{'text': 'four bases', 'start': 466.0, 'duration': 3.12}
{'text': 'the nucleotides or whatever stand for', 'start': 467.28, 'duration': 3.919}
{'text': 'indiana i would lose my mind', 'start': 469.12, 'duration': 3.6}
{'text': 'i would actually i would be triggered i', 'start': 471.199, 'duration': 2.881}
{'text': 'would un-ironically be triggered', 'start': 472.72, 'duration': 2.479}
{'text': 'remember to hit that like and subscribe', 'start': 474.08, 'duration': 2.64}
{'text': "and don't forget the notification bell", 'start': 475.199, 'duration': 3.12}
{'text': 'so that my videos show up', 'start': 476.72, 'duration': 5.28}
{'text': 'right in your feed 36 times 36', 'start': 478.319, 'duration': 6.641}
{'text': 'is 72 so', 'start': 482.0, 'duration': 2.96}
