{'text': 'the one-on-one', 'start': 2.0, 'duration': 4.85}
{'text': 'is not ordered like music what do you', 'start': 150.319, 'duration': 5.681}
{'text': 'mean by order define order', 'start': 152.879, 'duration': 5.601}
{'text': "it it doesn't it's made up on the go no", 'start': 156.0, 'duration': 3.599}
{'text': "it's not", 'start': 158.48, 'duration': 3.2}
{'text': "jazz music is made up on the go that's", 'start': 159.599, 'duration': 4.401}
{'text': 'why what are you talking about', 'start': 161.68, 'duration': 4.96}
{'text': "i'm probably uh one of the uh one of the", 'start': 164.0, 'duration': 3.76}
{'text': 'least lucky people', 'start': 166.64, 'duration': 3.44}
{'text': 'that has wandered into a debate with me', 'start': 167.76, 'duration': 3.52}
{'text': 'multi-person', 'start': 170.08, 'duration': 4.4}
{'text': "[\xa0__\xa0] show of the year results i don't", 'start': 171.28, 'duration': 4.4}
{'text': 'think we had too many of these and third', 'start': 174.48, 'duration': 3.28}
{'text': 'place was destiny and vosh versus james', 'start': 175.68, 'duration': 3.68}
{'text': 'alsop and eric striker that was her two', 'start': 177.76, 'duration': 2.24}
{'text': 'and two debate', 'start': 179.36, 'duration': 2.799}
{'text': 'people of different races have less in', 'start': 180.0, 'duration': 3.84}
{'text': 'common and are thus less likely to', 'start': 182.159, 'duration': 2.641}
{'text': 'create a union', 'start': 183.84, 'duration': 2.56}
{'text': "that's a historical reality wait okay", 'start': 184.8, 'duration': 2.64}
{'text': "i'm just care well i just because i", 'start': 186.4, 'duration': 1.839}
{'text': 'thought it was funny because i just', 'start': 187.44, 'duration': 1.519}
{'text': 'looked it up', 'start': 188.239, 'duration': 1.761}
{'text': "it's funny you didn't read the rest of", 'start': 188.959, 'duration': 2.801}
{'text': 'your abstract so the study finds that', 'start': 190.0, 'duration': 2.959}
{'text': 'more diverse establishments are less', 'start': 191.76, 'duration': 2.399}
{'text': 'likely to see successful organizing', 'start': 192.959, 'duration': 1.761}
{'text': 'attempts', 'start': 194.159, 'duration': 1.921}
{'text': 'little evidence is found however that', 'start': 194.72, 'duration': 2.48}
{'text': 'this is because workers are less', 'start': 196.08, 'duration': 2.64}
{'text': 'interested in voting for unions instead', 'start': 197.2, 'duration': 3.039}
{'text': 'the organizers of more diverse units are', 'start': 198.72, 'duration': 2.64}
{'text': 'more likely to give up before such', 'start': 200.239, 'duration': 2.401}
{'text': 'elections are held furthermore', 'start': 201.36, 'duration': 2.959}
{'text': 'this higher quality do they give up', 'start': 202.64, 'duration': 3.76}
{'text': "let's keep reading this higher quit rate", 'start': 204.319, 'duration': 3.28}
{'text': 'can be explained best by considering', 'start': 206.4, 'duration': 2.479}
{'text': 'that other organizations involved in the', 'start': 207.599, 'duration': 3.121}
{'text': 'organizing drive in particular employers', 'start': 208.879, 'duration': 3.201}
{'text': 'are more likely to be charged with', 'start': 210.72, 'duration': 3.2}
{'text': 'unfair labor practices when the unit in', 'start': 212.08, 'duration': 3.6}
{'text': 'question is more racially diverse', 'start': 213.92, 'duration': 2.959}
{'text': 'this effect persists when the study', 'start': 215.68, 'duration': 2.72}
{'text': 'controls for heterogeneity among', 'start': 216.879, 'duration': 3.041}
{'text': 'industries unions and regions', 'start': 218.4, 'duration': 3.52}
{'text': 'crazy so a more diverse workplace maybe', 'start': 219.92, 'duration': 3.76}
{'text': "doesn't find it necessary to unionize", 'start': 221.92, 'duration': 3.2}
{'text': "that's insane that your own [\xa0__\xa0]", 'start': 223.68, 'duration': 3.44}
{'text': 'abstract your own [\xa0__\xa0] abstract', 'start': 225.12, 'duration': 3.119}
{'text': "oh my god you're smiling right now but", 'start': 227.12, 'duration': 2.32}
{'text': "you're dying on the inside james it's", 'start': 228.239, 'duration': 1.92}
{'text': 'okay dog', 'start': 229.44, 'duration': 1.84}
{'text': "i know that feeling i've been there", 'start': 230.159, 'duration': 2.481}
{'text': 'before it happens every now and then but', 'start': 231.28, 'duration': 3.76}
{'text': "you're holding holy [\xa0__\xa0]", 'start': 232.64, 'duration': 4.879}
{'text': 'number two jesse lee peterson live panel', 'start': 235.04, 'duration': 3.919}
{'text': 'with', 'start': 237.519, 'duration': 3.92}
{'text': "i don't understand what uh", 'start': 238.959, 'duration': 4.241}
{'text': 'disproportionate or per capita means', 'start': 241.439, 'duration': 2.481}
{'text': 'collins', 'start': 243.2, 'duration': 2.08}
{'text': "we don't hold the majority of the people", 'start': 243.92, 'duration': 4.0}
{'text': 'in the united states about black people', 'start': 245.28, 'duration': 4.56}
{'text': 'he gave the example that we should keep', 'start': 247.92, 'duration': 3.679}
{'text': 'people without jobs from voting and i', 'start': 249.84, 'duration': 2.959}
{'text': 'said disproportionately that would', 'start': 251.599, 'duration': 2.401}
{'text': 'impact black people and spend people i', 'start': 252.799, 'duration': 2.0}
{'text': "don't care about the", 'start': 254.0, 'duration': 2.639}
{'text': 'numbers this will personally impact', 'start': 254.799, 'duration': 3.28}
{'text': 'black people it disproportionately', 'start': 256.639, 'duration': 2.88}
{'text': 'impacts white people because', 'start': 258.079, 'duration': 2.72}
{'text': 'white people are the majority of the', 'start': 259.519, 'duration': 3.12}
{'text': 'people who are in the united states', 'start': 260.799, 'duration': 4.161}
{'text': 'andrew clavin from the daily wire i', 'start': 262.639, 'duration': 3.441}
{'text': 'think', 'start': 264.96, 'duration': 4.959}
{'text': 'and more um that was the live panel i', 'start': 266.08, 'duration': 7.52}
{'text': 'did at the jlp studio which was fun', 'start': 269.919, 'duration': 6.0}
{'text': 'um and then number one the kill stream', 'start': 273.6, 'duration': 3.2}
{'text': 'live versus', 'start': 275.919, 'duration': 2.641}
{'text': 'are featuring ralph dick max nick', 'start': 276.8, 'duration': 3.2}
{'text': 'winston oh i remember this', 'start': 278.56, 'duration': 3.84}
{'text': "um at dick's house problems that i have", 'start': 280.0, 'duration': 3.6}
{'text': 'is that like um', 'start': 282.4, 'duration': 2.32}
{'text': 'because part of the way that online', 'start': 283.6, 'duration': 2.64}
{'text': 'rhetoric works is you ask questions', 'start': 284.72, 'duration': 2.24}
{'text': 'getting like', 'start': 286.24, 'duration': 2.48}
{'text': 'right to the very [\xa0__\xa0] edge and then', 'start': 286.96, 'duration': 3.679}
{'text': 'you never say it and then', 'start': 288.72, 'duration': 3.36}
{'text': "you feel like you're money and then you", 'start': 290.639, 'duration': 3.041}
{'text': 'feel like and then that person is immune', 'start': 292.08, 'duration': 3.2}
{'text': 'to all criticism so like for the caller', 'start': 293.68, 'duration': 2.72}
{'text': 'earlier like so he might come on and he', 'start': 295.28, 'duration': 1.68}
{'text': 'might say', 'start': 296.4, 'duration': 2.72}
{'text': 'blacks commit more crime in canada and', 'start': 296.96, 'duration': 3.6}
{'text': 'all over the world than in other places', 'start': 299.12, 'duration': 2.079}
{'text': 'in', 'start': 300.56, 'duration': 1.6}
{'text': 'the whole world and then compared to', 'start': 301.199, 'duration': 3.28}
{'text': 'whites um blacks also have less iq than', 'start': 302.16, 'duration': 3.759}
{'text': 'whites genetically speaking blacks are', 'start': 304.479, 'duration': 3.361}
{'text': 'also you know they have the warrior gene', 'start': 305.919, 'duration': 3.681}
{'text': 'um and the country would probably have', 'start': 307.84, 'duration': 3.12}
{'text': "less crime if blacks weren't here", 'start': 309.6, 'duration': 3.439}
{'text': 'i mean as soon as i say like well do you', 'start': 310.96, 'duration': 3.519}
{'text': 'think that we should like deport all', 'start': 313.039, 'duration': 2.561}
{'text': "blacks it's like whoa", 'start': 314.479, 'duration': 2.56}
{'text': 'i would never make that comes like okay', 'start': 315.6, 'duration': 2.8}
{'text': "well like but like that's where like all", 'start': 317.039, 'duration': 2.641}
{'text': 'of the audience is going naturally', 'start': 318.4, 'duration': 2.48}
{'text': 'jordan peterson does this [\xa0__\xa0] all the', 'start': 319.68, 'duration': 2.239}
{'text': "time and it's like [\xa0__\xa0] like", 'start': 320.88, 'duration': 2.4}
{'text': 'how do you argue with a person like that', 'start': 321.919, 'duration': 2.881}
{'text': "that isn't actually telling you to do", 'start': 323.28, 'duration': 2.4}
{'text': "anything they're just leading you like", 'start': 324.8, 'duration': 1.28}
{'text': 'right', 'start': 325.68, 'duration': 1.84}
{'text': "but the caller the caller that you're", 'start': 326.08, 'duration': 3.2}
{'text': 'talking about was so he seemed like an', 'start': 327.52, 'duration': 2.56}
{'text': '[\xa0__\xa0]', 'start': 329.28, 'duration': 3.88}
{'text': 'that was a fun time interesting time the', 'start': 330.08, 'duration': 4.399}
{'text': '2019', 'start': 333.16, 'duration': 4.759}
{'text': "antagonist of the year oh i'm sorry the", 'start': 334.479, 'duration': 4.56}
{'text': '2020 tagginess of the year', 'start': 337.919, 'duration': 5.521}
{'text': 'results number one banned streamer', 'start': 339.039, 'duration': 8.241}
{'text': 'vaush number two hassan', 'start': 343.44, 'duration': 7.52}
{'text': '[\xa0__\xa0] number three nuance', 'start': 347.28, 'duration': 6.08}
{'text': "bro we didn't really have very we didn't", 'start': 350.96, 'duration': 3.679}
{'text': 'really have very many antagonists this', 'start': 353.36, 'duration': 2.48}
{'text': 'year did we huh', 'start': 354.639, 'duration': 2.961}
{'text': 'oh we should like think about the the', 'start': 355.84, 'duration': 3.199}
{'text': "year in review as well i don't really", 'start': 357.6, 'duration': 2.8}
{'text': 'have very many good debates this year', 'start': 359.039, 'duration': 2.961}
{'text': 'either everybody is scared of debating', 'start': 360.4, 'duration': 2.0}
{'text': 'now', 'start': 362.0, 'duration': 1.919}
{'text': 'my brand is kind of like threatened by', 'start': 362.4, 'duration': 3.6}
{'text': 'that um', 'start': 363.919, 'duration': 3.521}
{'text': 'i think like lefties and righties have', 'start': 366.0, 'duration': 2.639}
{'text': "kind of realized it's easier to just", 'start': 367.44, 'duration': 1.92}
{'text': 'kind of like', 'start': 368.639, 'duration': 4.641}
{'text': 'preach on youtube because um', 'start': 369.36, 'duration': 7.679}
{'text': 'yeah but what are you gonna do', 'start': 373.28, 'duration': 5.12}
{'text': "oh one thing that i've noticed that i", 'start': 377.039, 'duration': 3.841}
{'text': 'think is kind of funny is that', 'start': 378.4, 'duration': 4.0}
{'text': 'left-leaning people and right-leaning', 'start': 380.88, 'duration': 3.599}
{'text': 'people both have their same bends of', 'start': 382.4, 'duration': 3.68}
{'text': 'like anti-intellectualism which is', 'start': 384.479, 'duration': 2.641}
{'text': 'strange like on the right they talk', 'start': 386.08, 'duration': 2.559}
{'text': 'about liberal academia', 'start': 387.12, 'duration': 3.919}
{'text': 'liberal institution oh wait this is kind', 'start': 388.639, 'duration': 3.12}
{'text': 'of political', 'start': 391.039, 'duration': 2.72}
{'text': 'no politics by the way yeah wait well', 'start': 391.759, 'duration': 3.121}
{'text': "i'm not like calling out like", 'start': 393.759, 'duration': 2.56}
{'text': 'republicans or democrats or political', 'start': 394.88, 'duration': 2.879}
{'text': "people right that's okay right", 'start': 396.319, 'duration': 4.0}
{'text': 'but like um okay there are people on the', 'start': 397.759, 'duration': 3.041}
{'text': 'internet', 'start': 400.319, 'duration': 1.521}
{'text': 'there are two different groups of people', 'start': 400.8, 'duration': 1.679}
{'text': "on the internet they're very", 'start': 401.84, 'duration': 2.639}
{'text': 'anti-intellectual so some people say', 'start': 402.479, 'duration': 4.401}
{'text': 'oh like you know academia is bad blah', 'start': 404.479, 'duration': 3.28}
{'text': 'blah blah', 'start': 406.88, 'duration': 3.039}
{'text': 'but then um other groups of people will', 'start': 407.759, 'duration': 4.321}
{'text': "use insults like oh you're a logic lord", 'start': 409.919, 'duration': 3.361}
{'text': "you're a debate lord", 'start': 412.08, 'duration': 2.72}
{'text': "and it's like well that's kind of weird", 'start': 413.28, 'duration': 4.0}
{'text': "like don't we all strive to be like", 'start': 414.8, 'duration': 3.44}
{'text': 'logic lords', 'start': 417.28, 'duration': 2.639}
{'text': "like shouldn't we all be like somewhat", 'start': 418.24, 'duration': 3.6}
{'text': 'like reasonable irrational like is that', 'start': 419.919, 'duration': 3.201}
{'text': 'actually like an insult', 'start': 421.84, 'duration': 2.16}
{'text': "i don't know i just think it's kind of", 'start': 423.12, 'duration': 3.44}
{'text': 'funny but yeah so', 'start': 424.0, 'duration': 4.16}
{'text': "rough year for debates i don't know how", 'start': 426.56, 'duration': 3.199}
{'text': "we're going to do next year or if we", 'start': 428.16, 'duration': 2.72}
{'text': 'just kind of like move on from that', 'start': 429.759, 'duration': 2.401}
{'text': 'content because it seems like not many', 'start': 430.88, 'duration': 3.96}
{'text': 'people are willing to engage anymore', 'start': 432.16, 'duration': 5.2}
{'text': "um multi-person [\xa0__\xa0] show we didn't have", 'start': 434.84, 'duration': 3.639}
{'text': 'too many of these', 'start': 437.36, 'duration': 3.52}
{'text': 'this year either like the panels jesse', 'start': 438.479, 'duration': 3.921}
{'text': 'lee peterson really came through here', 'start': 440.88, 'duration': 5.92}
{'text': 'providing with the content good for him', 'start': 442.4, 'duration': 4.4}
{'text': '[Music]', 'start': 447.55, 'duration': 3.41}
{'text': 'um and same thing with dick madison as', 'start': 448.84, 'duration': 3.88}
{'text': 'well yeah', 'start': 450.96, 'duration': 3.12}
{'text': 'calling someone a logic lord is like', 'start': 452.72, 'duration': 3.199}
{'text': "bragging you're a dumb ass", 'start': 454.08, 'duration': 6.16}
{'text': 'true um antagonist of the year oh also', 'start': 455.919, 'duration': 5.601}
{'text': "we didn't actually fight with that many", 'start': 460.24, 'duration': 3.2}
{'text': 'people this year surprisingly like big', 'start': 461.52, 'duration': 4.32}
{'text': "extended fights i don't think", 'start': 463.44, 'duration': 6.0}
{'text': 'which was interesting as well so', 'start': 465.84, 'duration': 7.84}
{'text': 'buddy of the year oh no 2019 winner', 'start': 469.44, 'duration': 7.92}
{'text': 'moody cakes 2020 winner dan', 'start': 473.68, 'duration': 6.48}
{'text': 'get [\xa0__\xa0] wide people happy loser mr', 'start': 477.36, 'duration': 4.32}
{'text': 'mitten', 'start': 480.16, 'duration': 3.36}
{'text': 'hold on do we have like runoff voting or', 'start': 481.68, 'duration': 3.12}
{'text': 'not run up voting do we have like a', 'start': 483.52, 'duration': 2.72}
{'text': 'ranked choice or anything here or is it', 'start': 484.8, 'duration': 1.679}
{'text': 'no', 'start': 486.24, 'duration': 2.079}
{'text': 'no no no no no no i like the fact that', 'start': 486.479, 'duration': 3.041}
{'text': 'we had peach', 'start': 488.319, 'duration': 3.521}
{'text': "in there peach stole mr moon's vote", 'start': 489.52, 'duration': 3.92}
{'text': 'guaranteed and i like the way that that', 'start': 491.84, 'duration': 3.44}
{'text': 'works there', 'start': 493.44, 'duration': 4.0}
{'text': "let's see man lily all the way down at", 'start': 495.28, 'duration': 4.08}
{'text': 'five train wrecks coming in at six', 'start': 497.44, 'duration': 5.039}
{'text': 'the fiance at seven bose down there at', 'start': 499.36, 'duration': 3.519}
{'text': 'eight', 'start': 502.479, 'duration': 4.321}
{'text': 'zurich at nine lycan at eris at 11 tabor', 'start': 502.879, 'duration': 4.641}
{'text': 'at 12.', 'start': 506.8, 'duration': 4.48}
{'text': 'okay dan coming in strong at rank one', 'start': 507.52, 'duration': 5.04}
{'text': 'moody cakes', 'start': 511.28, 'duration': 4.8}
{'text': 'rank two and peach rank three wow', 'start': 512.56, 'duration': 5.359}
{'text': 'brainlit of the year the no [\xa0__\xa0]', 'start': 516.08, 'duration': 4.16}
{'text': 'award 2018 winner was our good', 'start': 517.919, 'duration': 5.841}
{'text': 'tired friend peter coffin', 'start': 520.24, 'duration': 5.12}
{'text': "number three went to lecture fan who's", 'start': 523.76, 'duration': 3.759}
{'text': 'just quite the character number two was', 'start': 525.36, 'duration': 4.24}
{'text': 'joshua for congress i think if he would', 'start': 527.519, 'duration': 3.041}
{'text': 'have been more recent he would have', 'start': 529.6, 'duration': 2.16}
{'text': 'gotten number one what a', 'start': 530.56, 'duration': 5.04}
{'text': 'what a crazy character number one', 'start': 531.76, 'duration': 7.68}
{'text': 'big mad jack allison', 'start': 535.6, 'duration': 5.359}
{'text': "he didn't deserve that one it's just", 'start': 539.44, 'duration': 3.44}
{'text': 'recent it sucks he was', 'start': 540.959, 'duration': 4.161}
{'text': 'big mad who deserved it more on this', 'start': 542.88, 'duration': 4.16}
{'text': 'list did joshua for congress think', 'start': 545.12, 'duration': 4.08}
{'text': 'like you [\xa0__\xa0] ended that was that', 'start': 547.04, 'duration': 3.6}
{'text': "that was really great i don't know", 'start': 549.2, 'duration': 3.36}
{'text': 'joshua should have won i mean he had a', 'start': 550.64, 'duration': 4.08}
{'text': 'real like not real but like he did have', 'start': 552.56, 'duration': 3.2}
{'text': 'like hundreds of thousand dollars', 'start': 554.72, 'duration': 2.48}
{'text': 'donated yeah he was worth like what like', 'start': 555.76, 'duration': 4.079}
{'text': '200k', 'start': 557.2, 'duration': 2.639}
{'text': 'this is a recency bias exhibit eh yeah', 'start': 559.92, 'duration': 4.24}
{'text': 'maybe okay', 'start': 562.64, 'duration': 4.24}
{'text': "ally of the year 2019 reader winner i'm", 'start': 564.16, 'duration': 3.44}
{'text': 'sorry winner', 'start': 566.88, 'duration': 4.399}
{'text': 'david pakman and the 2020 winner david', 'start': 567.6, 'duration': 6.16}
{'text': 'pakman', 'start': 571.279, 'duration': 2.481}
{'text': 'number two book smart smarts sorry', 'start': 573.92, 'duration': 3.919}
{'text': 'number three doug of ca number four', 'start': 576.24, 'duration': 3.76}
{'text': 'bastiat number five posh', 'start': 577.839, 'duration': 3.521}
{'text': "number six i'm really important number", 'start': 580.0, 'duration': 3.44}
{'text': 'seven irrelevant number eight hutch', 'start': 581.36, 'duration': 4.4}
{'text': 'number nine socialism done left what a', 'start': 583.44, 'duration': 3.28}
{'text': 'list', 'start': 585.76, 'duration': 2.88}
{'text': 'i think book smarts pretty easily should', 'start': 586.72, 'duration': 3.28}
{'text': 'have taken number one here i think this', 'start': 588.64, 'duration': 2.8}
{'text': 'is just voting for like who your other', 'start': 590.0, 'duration': 3.68}
{'text': 'favorite content creator is', 'start': 591.44, 'duration': 4.48}
{'text': "but i think i've interacted with david", 'start': 593.68, 'duration': 3.36}
{'text': 'like three times', 'start': 595.92, 'duration': 4.08}
{'text': "haven't i has it been more than that", 'start': 597.04, 'duration': 3.84}
{'text': 'this year', 'start': 600.0, 'duration': 2.72}
{'text': 'like five times or less for sure you', 'start': 600.88, 'duration': 3.12}
{'text': 'talk to them like every debate after', 'start': 602.72, 'duration': 4.32}
{'text': "the election wait weren't there like", 'start': 604.0, 'duration': 4.88}
{'text': "two debates yeah i think it's because", 'start': 607.04, 'duration': 3.039}
{'text': "chad's always watching deepak stream's", 'start': 608.88, 'duration': 2.56}
{'text': 'wedding yeah book smarts came with us to', 'start': 610.079, 'duration': 2.32}
{'text': 'the um', 'start': 611.44, 'duration': 2.56}
{'text': 'book smarts came with us and protected', 'start': 612.399, 'duration': 3.44}
{'text': 'me during the rally', 'start': 614.0, 'duration': 3.6}
{'text': "i can't believe you guys voted david", 'start': 615.839, 'duration': 5.601}
{'text': 'pakman over him oh my god', 'start': 617.6, 'duration': 3.84}
{'text': 'jeez', 'start': 623.04, 'duration': 2.479}
{'text': '[Music]', 'start': 626.1, 'duration': 5.9}
{'text': 'you guys shafted him hard unreal you', 'start': 628.48, 'duration': 5.52}
{'text': 'guys have made mistakes', 'start': 632.0, 'duration': 3.76}
{'text': 'did any [\xa0__\xa0] talk about you like a few', 'start': 634.0, 'duration': 3.44}
{'text': "book smart said it's never [\xa0__\xa0] talk to", 'start': 635.76, 'duration': 3.199}
{'text': 'me he disagrees with stuff i say am i', 'start': 637.44, 'duration': 2.72}
{'text': 'approaching this but i think book smarts', 'start': 638.959, 'duration': 1.761}
{'text': 'is like', 'start': 640.16, 'duration': 1.76}
{'text': "i don't think he's ever like [\xa0__\xa0] talked", 'start': 640.72, 'duration': 6.32}
{'text': 'me or hated me or anything jeez', 'start': 641.92, 'duration': 8.88}
{'text': "democracy doesn't always work true drama", 'start': 647.04, 'duration': 6.88}
{'text': 'of the year the 2019 winner was the', 'start': 650.8, 'duration': 5.599}
{'text': 'n-word drama the results this time was', 'start': 653.92, 'duration': 6.32}
{'text': 'the written house saga 47.1 percent', 'start': 656.399, 'duration': 6.0}
{'text': 'the dark triad arc with our good friend', 'start': 660.24, 'duration': 4.159}
{'text': 'anna coming in at twenty seven point', 'start': 662.399, 'duration': 4.081}
{'text': 'three or twenty seven six percent and', 'start': 664.399, 'duration': 3.12}
{'text': 'the hashtag', 'start': 666.48, 'duration': 4.88}
{'text': 'twitchme2 coming in third at 16.7', 'start': 667.519, 'duration': 5.121}
{'text': 'percent', 'start': 671.36, 'duration': 5.28}
{'text': 'offline tv drama sitting at a solid 7.2', 'start': 672.64, 'duration': 5.36}
{'text': 'despite the fact that i think that is', 'start': 676.64, 'duration': 3.68}
{'text': 'now the second most viewed video', 'start': 678.0, 'duration': 5.12}
{'text': 'on my channel', 'start': 680.32, 'duration': 2.8}
{'text': 'that will probably overtake the allah', 'start': 686.079, 'duration': 3.76}
{'text': 'video pretty soon', 'start': 690.079, 'duration': 2.88}
{'text': "i'm glad i can be known as the internet", 'start': 693.44, 'duration': 3.6}
{'text': 'uh pokey', 'start': 696.0, 'duration': 4.16}
{'text': 'drama cover person', 'start': 697.04, 'duration': 5.6}
{'text': "i'm surprised this video didn't get more", 'start': 700.16, 'duration': 3.119}
{'text': 'views', 'start': 702.64, 'duration': 3.36}
{'text': 'um just because it was this video got', 'start': 703.279, 'duration': 3.12}
{'text': 'like', 'start': 706.0, 'duration': 1.6}
{'text': 'good viewership for my channel like', 'start': 706.399, 'duration': 2.801}
{'text': 'decent views but this video was on quite', 'start': 707.6, 'duration': 2.88}
{'text': 'a few subreddits but it seems like it', 'start': 709.2, 'duration': 1.92}
{'text': "didn't get", 'start': 710.48, 'duration': 2.08}
{'text': 'as many views i would have expected it', 'start': 711.12, 'duration': 3.12}
{'text': 'to just because of how many subs i saw', 'start': 712.56, 'duration': 5.279}
{'text': 'posted on', 'start': 714.24, 'duration': 3.599}
{'text': "um i guess it didn't get that many", 'start': 718.88, 'duration': 4.48}
{'text': 'comments', 'start': 721.44, 'duration': 3.519}
{'text': 'but like these two subs are like fairly', 'start': 723.36, 'duration': 3.68}
{'text': 'big no no not the ira smurfing one', 'start': 724.959, 'duration': 3.68}
{'text': 'this one oh i guess it only got on', 'start': 727.04, 'duration': 3.359}
{'text': "public freak out wasn't huge", 'start': 728.639, 'duration': 4.241}
{'text': 'they said 110 comments so not too much', 'start': 730.399, 'duration': 4.161}
{'text': 'millionaire youtuber', 'start': 732.88, 'duration': 5.04}
{'text': 'streamer famous for debating', 'start': 734.56, 'duration': 3.36}
{'text': '[Music]', 'start': 739.07, 'duration': 3.159}
{'text': 'conservatives damn', 'start': 742.839, 'duration': 4.041}
{'text': "i'm gonna have to fire august for that", 'start': 745.519, 'duration': 2.88}
{'text': "one when he's gone next month you guys", 'start': 746.88, 'duration': 4.0}
