{'text': 'stephen listen jesse', 'start': 0.08, 'duration': 7.279}
{'text': 'the majority report was live with sam', 'start': 228.72, 'duration': 3.28}
{'text': "cedar so that he couldn't show up on the", 'start': 230.72, 'duration': 2.64}
{'text': "show so now that he sees that he's live", 'start': 232.0, 'duration': 2.879}
{'text': "now he's coming back to this", 'start': 233.36, 'duration': 3.28}
{'text': "and he's like okay cool i see that", 'start': 234.879, 'duration': 3.121}
{'text': "samsung is live there's no way he can", 'start': 236.64, 'duration': 2.799}
{'text': "ambush me on this podcast so now we're", 'start': 238.0, 'duration': 2.4}
{'text': 'good to go', 'start': 239.439, 'duration': 3.44}
{'text': 'we started the show early we ended at 12', 'start': 240.4, 'duration': 4.8}
{'text': '30 p.m which was 30 minutes', 'start': 242.879, 'duration': 5.841}
{'text': 'before uh the debate that', 'start': 245.2, 'duration': 5.52}
{'text': 'eleven to twelve thirty yeah thank you', 'start': 248.72, 'duration': 4.32}
{'text': 'guys remember that that that crowder', 'start': 250.72, 'duration': 5.68}
{'text': 'had planned with uh ethan klein on h3', 'start': 253.04, 'duration': 7.68}
{'text': 'and so we connect with h3 through zoom', 'start': 256.4, 'duration': 7.44}
{'text': "and like immediately after we're done", 'start': 260.72, 'duration': 4.4}
{'text': 'with the show', 'start': 263.84, 'duration': 4.48}
{'text': 'and then four or five minutes later', 'start': 265.12, 'duration': 7.359}
{'text': 'uh they go oh we just got an email from', 'start': 268.32, 'duration': 4.96}
{'text': "crowder's", 'start': 272.479, 'duration': 4.241}
{'text': 'dad that', 'start': 273.28, 'duration': 7.359}
{'text': 'stephen had an emergency with his', 'start': 276.72, 'duration': 7.919}
{'text': "wife who's pregnant and this is actually", 'start': 280.639, 'duration': 4.0}
{'text': 'sort of disturbing we were concerned we', 'start': 284.8, 'duration': 3.44}
{'text': 'were cons we were concerned', 'start': 286.639, 'duration': 4.321}
{'text': "and um and i'm being serious about that", 'start': 288.24, 'duration': 3.519}
{'text': 'actually', 'start': 290.96, 'duration': 3.44}
{'text': "um and he can't do it however we will", 'start': 291.759, 'duration': 4.641}
{'text': 'reschedule for next monday', 'start': 294.4, 'duration': 4.88}
{'text': 'at noon but it was weird that hey we', 'start': 296.4, 'duration': 5.44}
{'text': 'having an emergency', 'start': 299.28, 'duration': 5.04}
{'text': 'i mean this is the father this is the', 'start': 301.84, 'duration': 5.12}
{'text': 'grandfather of those kids', 'start': 304.32, 'duration': 4.24}
{'text': 'if i was that guy would be like look we', 'start': 306.96, 'duration': 3.36}
{'text': "have an emergency can't get back to you", 'start': 308.56, 'duration': 3.68}
{'text': "i wouldn't give the details", 'start': 310.32, 'duration': 4.56}
{'text': "because why would i and i'm like it's an", 'start': 312.24, 'duration': 3.519}
{'text': 'emergency', 'start': 314.88, 'duration': 2.48}
{'text': "and i'll get back to later in the week", 'start': 315.759, 'duration': 4.081}
{'text': 'to reschedule but no they reschedule it', 'start': 317.36, 'duration': 3.76}
{'text': 'for 12 p.m', 'start': 319.84, 'duration': 4.32}
{'text': 'on monday eastern which is exactly', 'start': 321.12, 'duration': 6.16}
{'text': "when we go live that's so weird so uh", 'start': 324.16, 'duration': 4.0}
{'text': 'yeah are you ready', 'start': 327.28, 'duration': 2.88}
{'text': 'ready to go just so i just want to make', 'start': 328.16, 'duration': 4.08}
{'text': 'one clarification so', 'start': 330.16, 'duration': 4.319}
{'text': "in terms of so we're both going to", 'start': 332.24, 'duration': 4.48}
{'text': 'record it and then we can use it', 'start': 334.479, 'duration': 4.16}
{'text': 'wherever we want on your show on my show', 'start': 336.72, 'duration': 3.199}
{'text': 'whatever right yeah', 'start': 338.639, 'duration': 2.721}
{'text': 'yeah yeah yeah yeah okay yeah and we can', 'start': 339.919, 'duration': 2.641}
{'text': 'send you the file if we want because we', 'start': 341.36, 'duration': 2.96}
{'text': 'have the master file everything so', 'start': 342.56, 'duration': 3.76}
{'text': "um yeah we're i think we're good right", 'start': 344.32, 'duration': 3.52}
{'text': "dan we're recording it on our end", 'start': 346.32, 'duration': 3.2}
{'text': "okay okay yeah we've never used zoom", 'start': 347.84, 'duration': 3.919}
{'text': 'either we we uh did you ever get sold on', 'start': 349.52, 'duration': 2.959}
{'text': 'that skype t', 'start': 351.759, 'duration': 3.601}
{'text': 'xbox remember when that came out oh no i', 'start': 352.479, 'duration': 4.72}
{'text': "do i've always had such a pain with", 'start': 355.36, 'duration': 3.92}
{'text': 'skype that i um', 'start': 357.199, 'duration': 4.401}
{'text': 'zoom has always been really good so well', 'start': 359.28, 'duration': 3.759}
{'text': 'the skype tx box', 'start': 361.6, 'duration': 3.2}
{'text': 'is like from new tech i think and they', 'start': 363.039, 'duration': 2.961}
{'text': 'sold us on that they said this is what', 'start': 364.8, 'duration': 2.72}
{'text': 'jimmy kimmel uses and all these people', 'start': 366.0, 'duration': 2.4}
{'text': 'and', 'start': 367.52, 'duration': 3.2}
{'text': "well skype tx it's like a box that's", 'start': 368.4, 'duration': 3.2}
{'text': "like it's almost like remember the", 'start': 370.72, 'duration': 1.44}
{'text': 'comments', 'start': 371.6, 'duration': 3.92}
{'text': "boxes no it sucks what we've had to do", 'start': 372.16, 'duration': 5.039}
{'text': 'is we just have mac minis', 'start': 375.52, 'duration': 4.0}
{'text': 'set up and skype has played well with', 'start': 377.199, 'duration': 4.72}
{'text': 'those but not the exclusively designed', 'start': 379.52, 'duration': 4.64}
{'text': 'skype tx box that we paid whatever the', 'start': 381.919, 'duration': 3.84}
{'text': "premium for yeah skype i don't trust", 'start': 384.16, 'duration': 2.24}
{'text': 'skype', 'start': 385.759, 'duration': 3.28}
{'text': 'skype has always sucked yeah all right', 'start': 386.4, 'duration': 4.239}
{'text': "well um i'll just uh", 'start': 389.039, 'duration': 4.241}
{'text': "oh and then so so um okay so we're going", 'start': 390.639, 'duration': 3.521}
{'text': 'to record it', 'start': 393.28, 'duration': 4.08}
{'text': 'and um and then the topics are just', 'start': 394.16, 'duration': 6.64}
{'text': 'like is this one of the back straps for', 'start': 397.36, 'duration': 4.88}
{'text': 'a firearm or one of the show', 'start': 400.8, 'duration': 3.679}
{'text': "or um there's a name for these you know", 'start': 402.24, 'duration': 3.6}
{'text': 'they have a gun at your side or on your', 'start': 404.479, 'duration': 3.201}
{'text': "back is that what he's wearing", 'start': 405.84, 'duration': 5.04}
{'text': 'without a gun what', 'start': 407.68, 'duration': 6.639}
{'text': "why okay god that's cringe", 'start': 410.88, 'duration': 6.64}
{'text': 'uh just we said um', 'start': 414.319, 'duration': 7.521}
{'text': 'about authority with the vaccine and um', 'start': 417.52, 'duration': 5.84}
{'text': 'there was something else you mentioned', 'start': 421.84, 'duration': 3.52}
{'text': "i don't know how well i just thought oh", 'start': 423.36, 'duration': 3.52}
{'text': "does he have a gun oh as long as he's", 'start': 425.36, 'duration': 3.119}
{'text': "actually carrying i guess it's okay but", 'start': 426.88, 'duration': 4.24}
{'text': 'jesus yeah however you want to do it i', 'start': 428.479, 'duration': 3.921}
{'text': 'thought that since that was kind of the', 'start': 431.12, 'duration': 2.079}
{'text': 'subject that', 'start': 432.4, 'duration': 2.72}
{'text': 'yeah that got us into a tiff that we', 'start': 433.199, 'duration': 3.681}
{'text': 'could talk about sort of the cdc sort of', 'start': 435.12, 'duration': 3.199}
{'text': 'you know medical authorities and', 'start': 436.88, 'duration': 2.8}
{'text': 'yeah tell me where you disagree with me', 'start': 438.319, 'duration': 3.521}
{'text': 'and then also um kind of big tech', 'start': 439.68, 'duration': 3.44}
{'text': 'because that ties in you know with the', 'start': 441.84, 'duration': 3.52}
{'text': 'cdc world health organization', 'start': 443.12, 'duration': 4.079}
{'text': "and uh okay i'll just sort of i'll", 'start': 445.36, 'duration': 3.52}
{'text': 'introduce it to my uh you know i have a', 'start': 447.199, 'duration': 2.641}
{'text': 'little bit of a different audience to', 'start': 448.88, 'duration': 2.24}
{'text': 'let them know kind of', 'start': 449.84, 'duration': 2.479}
{'text': "who you are what's going on and if you", 'start': 451.12, 'duration': 2.72}
{'text': "want to do the same that's fine but uh", 'start': 452.319, 'duration': 2.961}
{'text': "yeah yeah yeah of course of course we'll", 'start': 453.84, 'duration': 2.079}
{'text': 'let them know', 'start': 455.28, 'duration': 3.68}
{'text': "all right okay and uh so all right i'll", 'start': 455.919, 'duration': 4.56}
{'text': "give you a countdown and then i'll uh", 'start': 458.96, 'duration': 4.56}
{'text': 'three two', 'start': 460.479, 'duration': 4.4}
{'text': "all right okay i'm really glad to have", 'start': 463.52, 'duration': 2.959}
{'text': "uh my next guest on the show and i've", 'start': 464.879, 'duration': 3.04}
{'text': 'always said this i always respect people', 'start': 466.479, 'duration': 2.4}
{'text': 'who um', 'start': 467.919, 'duration': 4.321}
{'text': 'enter the enter into the arena um and', 'start': 468.879, 'duration': 5.04}
{'text': "he sounds so nervous i don't know if", 'start': 472.24, 'duration': 2.799}
{'text': "something else is going on or if he's", 'start': 473.919, 'duration': 2.96}
{'text': 'really that scared', 'start': 475.039, 'duration': 4.081}
{'text': "of uh cedar holy [\xa0__\xa0] you know we've had", 'start': 476.879, 'duration': 3.521}
{'text': 'a lot of debates on this show which is', 'start': 479.12, 'duration': 2.32}
{'text': 'different from like it changed my mind', 'start': 480.4, 'duration': 2.88}
{'text': 'where we sit down have conversations', 'start': 481.44, 'duration': 3.52}
{'text': 'but uh my old brazilian jiu-jitsu coach', 'start': 483.28, 'duration': 3.28}
{'text': 'i said if you come a switch', 'start': 484.96, 'duration': 3.76}
{'text': "we go switch you go spicy we're gonna do", 'start': 486.56, 'duration': 3.44}
{'text': 'a little spicy', 'start': 488.72, 'duration': 2.96}
{'text': 'so we always try and uh keep it as', 'start': 490.0, 'duration': 2.879}
{'text': 'respectful as possible and i really do', 'start': 491.68, 'duration': 2.239}
{'text': 'appreciate the guy making the time', 'start': 492.879, 'duration': 2.401}
{'text': "because a lot of people haven't", 'start': 493.919, 'duration': 2.96}
{'text': 'has a huge youtube channel several', 'start': 495.28, 'duration': 3.52}
{'text': 'youtube channels one of the ogs', 'start': 496.879, 'duration': 4.16}
{'text': 'a lot of people watch them uh you know', 'start': 498.8, 'duration': 3.28}
{'text': 'some of you like them', 'start': 501.039, 'duration': 2.481}
{'text': "some of you don't same can be said for", 'start': 502.08, 'duration': 4.64}
{'text': 'me ethan klein from h3h3', 'start': 503.52, 'duration': 6.079}
{'text': 'uh ethan thanks man for making the time', 'start': 506.72, 'duration': 4.319}
{'text': "you're very welcome and i just want to", 'start': 509.599, 'duration': 2.481}
{'text': 'say i know you called me', 'start': 511.039, 'duration': 4.081}
{'text': 'you said that i would be a layup i think', 'start': 512.08, 'duration': 4.319}
{'text': 'i used something like that yeah', 'start': 515.12, 'duration': 2.56}
{'text': "i think you're right because i don't", 'start': 516.399, 'duration': 3.041}
{'text': "think i'm a very good debater", 'start': 517.68, 'duration': 4.799}
{'text': "i think you know that so i didn't want", 'start': 519.44, 'duration': 4.88}
{'text': 'to make it too easy for you', 'start': 522.479, 'duration': 4.881}
{'text': 'oh okay so i prepared', 'start': 524.32, 'duration': 5.92}
{'text': 'okay yes all right so what we were going', 'start': 527.36, 'duration': 3.76}
{'text': 'to talk about', 'start': 530.24, 'duration': 2.64}
{'text': 'is what we were going to talk about is', 'start': 531.12, 'duration': 3.839}
{'text': 'you know the initial quote that happened', 'start': 532.88, 'duration': 4.16}
{'text': "i think he's looking off there uh the", 'start': 534.959, 'duration': 3.761}
{'text': 'initial quote that kind of was turned', 'start': 537.04, 'duration': 2.16}
{'text': 'into', 'start': 538.72, 'duration': 3.28}
{'text': "um a little bit of a meme which wasn't", 'start': 539.2, 'duration': 3.84}
{'text': 'intentional', 'start': 542.0, 'duration': 3.2}
{'text': "and uh was you saying you don't even", 'start': 543.04, 'duration': 3.28}
{'text': 'have to think about it', 'start': 545.2, 'duration': 4.48}
{'text': 'regarding the cdc uh and i disagree with', 'start': 546.32, 'duration': 4.24}
{'text': 'that', 'start': 549.68, 'duration': 2.48}
{'text': 'um i think people should think about it', 'start': 550.56, 'duration': 3.2}
{'text': 'i believe and we', 'start': 552.16, 'duration': 2.64}
{'text': 'talked about this through playful', 'start': 553.76, 'duration': 3.28}
{'text': 'ribbing in an aggregation of medical', 'start': 554.8, 'duration': 4.32}
{'text': 'authorities and scientific voices', 'start': 557.04, 'duration': 3.44}
{'text': 'to make an informed and rational', 'start': 559.12, 'duration': 3.839}
{'text': 'decision um so where do you think that i', 'start': 560.48, 'duration': 2.799}
{'text': 'was', 'start': 562.959, 'duration': 3.041}
{'text': "that i'm wrong on that stephen do you", 'start': 563.279, 'duration': 3.761}
{'text': 'know that um', 'start': 566.0, 'duration': 5.92}
{'text': 'the spartans are that they are like uh', 'start': 567.04, 'duration': 7.359}
{'text': 'practice man love with children oh geez', 'start': 571.92, 'duration': 4.0}
{'text': "okay so this is what's going to happen i", 'start': 574.399, 'duration': 2.721}
{'text': 'what did i tell you he was going to do', 'start': 575.92, 'duration': 2.72}
{'text': 'anything he could to avoid', 'start': 577.12, 'duration': 4.8}
{'text': 'oh oh there he is oh no sam cedar what a', 'start': 578.64, 'duration': 5.04}
{'text': 'whoa what a [\xa0__\xa0] nightmare thank you', 'start': 581.92, 'duration': 2.32}
{'text': 'steven', 'start': 583.68, 'duration': 3.599}
{'text': 'i had no idea this was going to happen i', 'start': 584.24, 'duration': 4.719}
{'text': 'thought i thought ethan was a stand-up', 'start': 587.279, 'duration': 2.961}
{'text': 'guy', 'start': 588.959, 'duration': 3.281}
{'text': 'this is where we are yeah dave dave', 'start': 590.24, 'duration': 3.44}
{'text': 'remember i told you i told you', 'start': 592.24, 'duration': 2.8}
{'text': "i said this i guarantee you he's going", 'start': 593.68, 'duration': 2.64}
{'text': 'to do anything he can to avoid the', 'start': 595.04, 'duration': 1.68}
{'text': 'debate', 'start': 596.32, 'duration': 1.68}
{'text': 'oh i just think he believes that he', 'start': 596.72, 'duration': 3.36}
{'text': "should debate you no no he doesn't he", 'start': 598.0, 'duration': 3.839}
{'text': 'just takes advantage of of women with', 'start': 600.08, 'duration': 3.52}
{'text': 'you know mental health issues ethan', 'start': 601.839, 'duration': 3.68}
{'text': "klein doesn't stand up and do his own", 'start': 603.6, 'duration': 4.32}
{'text': 'fighting i gotta say', 'start': 605.519, 'duration': 5.921}
{'text': "let's bring on fm that you would", 'start': 607.92, 'duration': 6.0}
{'text': 'uh do anything to avoid talking to me i', 'start': 611.44, 'duration': 3.2}
{'text': "think you're", 'start': 613.92, 'duration': 5.919}
{'text': 'the point joe rogers', 'start': 614.64, 'duration': 5.199}
{'text': "and sam harris everyone's been avoiding", 'start': 620.959, 'duration': 3.601}
{'text': 'not just attempting to', 'start': 623.36, 'duration': 5.12}
{'text': 'keep your audience by jumping in', 'start': 624.56, 'duration': 3.92}
{'text': "stephen i mean okay it's about issues", 'start': 630.0, 'duration': 3.44}
{'text': "it's about", 'start': 632.959, 'duration': 2.0}
{'text': "issues yeah those issues that's what", 'start': 633.44, 'duration': 3.519}
{'text': "you're doing here some valid points", 'start': 634.959, 'duration': 3.841}
{'text': "you're so clever i had no idea that you", 'start': 636.959, 'duration': 3.521}
{'text': 'were taking your show off early last', 'start': 638.8, 'duration': 3.36}
{'text': 'time coming in today with your', 'start': 640.48, 'duration': 5.2}
{'text': 'pig pen peanuts i wish', 'start': 642.16, 'duration': 3.52}
{'text': "i have a general rule i don't", 'start': 657.44, 'duration': 3.68}
{'text': 'something', 'start': 672.64, 'duration': 2.4}
{'text': 'so you have a guy with less viewers', 'start': 685.2, 'duration': 4.079}
{'text': 'hold on a second all right let me let me', 'start': 701.36, 'duration': 3.28}
{'text': 'let me hear what let me hear what pig', 'start': 703.279, 'duration': 2.8}
{'text': 'pen has to say here really quick fair', 'start': 704.64, 'duration': 1.84}
{'text': 'enough', 'start': 706.079, 'duration': 2.481}
{'text': "um but ethan ethan look i i don't hold", 'start': 706.48, 'duration': 3.12}
{'text': "on a second ethan that's because", 'start': 708.56, 'duration': 2.16}
{'text': 'initially i came out here to talk with', 'start': 709.6, 'duration': 2.32}
{'text': 'ethan ethan', 'start': 710.72, 'duration': 3.44}
{'text': 'come on man look the same reason that i', 'start': 711.92, 'duration': 3.84}
{'text': "haven't ever had a conversation with sam", 'start': 714.16, 'duration': 4.0}
{'text': 'cedars the same reason that uh joe rogan', 'start': 715.76, 'duration': 4.879}
{'text': 'uh sam harris brett weinstein dave rubin', 'start': 718.16, 'duration': 4.0}
{'text': "ben shapiro don't own anything it's", 'start': 720.639, 'duration': 2.481}
{'text': 'based on a lie', 'start': 722.16, 'duration': 3.919}
{'text': 'ethan just like you claiming my ethan', 'start': 723.12, 'duration': 4.959}
{'text': 'you claiming my booker reached out to', 'start': 726.079, 'duration': 3.841}
{'text': "you ethan when you know that's not", 'start': 728.079, 'duration': 4.161}
{'text': "a lie there's no one judging you sam", 'start': 729.92, 'duration': 3.28}
{'text': "i've never known", 'start': 732.24, 'duration': 4.32}
{'text': 'a friend sam sam i can call out mike', 'start': 733.2, 'duration': 4.16}
{'text': 'tyson', 'start': 736.56, 'duration': 2.64}
{'text': "it doesn't mean that i'm ducking him", 'start': 737.36, 'duration': 3.84}
{'text': "it's um i'm pretty sure like", 'start': 739.2, 'duration': 4.48}
{'text': 'sam cedar is pretty well known like to', 'start': 741.2, 'duration': 4.16}
{'text': 'act like', 'start': 743.68, 'duration': 3.36}
{'text': 'to act like sam cedar is just like a', 'start': 745.36, 'duration': 3.2}
{'text': 'small nobody', 'start': 747.04, 'duration': 5.52}
{'text': "um i'm sorry jesus it's even bigger than", 'start': 748.56, 'duration': 5.04}
{'text': 'i thought they have more than a million', 'start': 752.56, 'duration': 2.24}
{'text': 'subs on their youtube', 'start': 753.6, 'duration': 3.679}
{'text': 'and for crowder like to continuously', 'start': 754.8, 'duration': 3.599}
{'text': 'over and over again', 'start': 757.279, 'duration': 2.881}
{'text': "say like oh it's so hard to get leftist", 'start': 758.399, 'duration': 2.961}
{'text': "here leftists don't really go on our", 'start': 760.16, 'duration': 2.72}
{'text': 'shows blah blah blah blah blah', 'start': 761.36, 'duration': 4.08}
{'text': "like i guarantee you i i don't even know", 'start': 762.88, 'duration': 4.16}
{'text': 'this but i can guarantee without even', 'start': 765.44, 'duration': 2.32}
{'text': 'knowing this', 'start': 767.04, 'duration': 2.56}
{'text': 'i guarantee you that crowder has talked', 'start': 767.76, 'duration': 3.84}
{'text': 'to plenty of leftists that are', 'start': 769.6, 'duration': 3.919}
{'text': 'leftist or progressives that are smaller', 'start': 771.6, 'duration': 3.6}
{'text': 'than um', 'start': 773.519, 'duration': 4.961}
{'text': 'that are smaller than um', 'start': 775.2, 'duration': 3.28}
{'text': 'uh the um jesus since sam cedar i keep', 'start': 779.279, 'duration': 3.441}
{'text': "reading steven carter's name", 'start': 781.44, 'duration': 3.519}
{'text': "uh there's no way that like he has like", 'start': 782.72, 'duration': 3.52}
{'text': "a uh that he's got like a minimum", 'start': 784.959, 'duration': 1.841}
{'text': '[\xa0__\xa0]', 'start': 786.24, 'duration': 1.839}
{'text': "threshold of like people that you'll", 'start': 786.8, 'duration': 3.2}
{'text': 'talk to you are so', 'start': 788.079, 'duration': 3.44}
{'text': 'worried why do you feel that why do you', 'start': 790.0, 'duration': 2.88}
{'text': 'feel that anyone sam why do you feel', 'start': 791.519, 'duration': 2.88}
{'text': 'that anyone owes you airtime when you', 'start': 792.88, 'duration': 2.8}
{'text': "have a 40th of the audience and you've", 'start': 794.399, 'duration': 2.641}
{'text': "been doing the show i don't know for ten", 'start': 795.68, 'duration': 2.08}
{'text': 'times as long', 'start': 797.04, 'duration': 3.2}
{'text': 'air time i think i think that ethan has', 'start': 797.76, 'duration': 3.68}
{'text': 'just given it to me', 'start': 800.24, 'duration': 3.12}
{'text': "right i didn't ask him for it right and", 'start': 801.44, 'duration': 3.12}
